year,month,day,amount_mm,days_agg,quality,date
2019,1,1,0.0,0,N,2019-01-01
2019,1,2,0.0,0,N,2019-01-02
2019,1,3,0.0,0,N,2019-01-03
2019,1,4,0.0,0,N,2019-01-04
2019,1,5,0.0,0,N,2019-01-05
2019,1,6,5.0,1,N,2019-01-06
2019,1,7,0.0,0,N,2019-01-07
2019,1,8,0.0,0,N,2019-01-08
2019,1,9,0.0,0,N,2019-01-09
2019,1,10,0.0,0,N,2019-01-10
2019,1,11,0.0,0,N,2019-01-11
2019,1,12,0.0,0,N,2019-01-12
2019,1,13,0.0,0,N,2019-01-13
2019,1,14,0.0,0,N,2019-01-14
2019,1,15,0.0,0,N,2019-01-15
2019,1,16,0.0,0,N,2019-01-16
2019,1,17,0.0,0,N,2019-01-17
2019,1,18,0.0,0,N,2019-01-18
2019,1,19,0.0,0,N,2019-01-19
2019,1,20,0.0,0,N,2019-01-20
2019,1,21,0.0,0,N,2019-01-21
2019,1,22,0.0,0,N,2019-01-22
2019,1,23,0.0,0,N,2019-01-23
2019,1,24,0.0,0,N,2019-01-24
2019,1,25,0.0,0,N,2019-01-25
2019,1,26,0.0,0,N,2019-01-26
2019,1,27,0.0,0,N,2019-01-27
2019,1,28,0.0,0,N,2019-01-28
2019,1,29,0.0,0,N,2019-01-29
2019,1,30,0.0,0,N,2019-01-30
2019,1,31,0.0,0,N,2019-01-31
2019,2,1,0.0,0,Y,2019-02-01
2019,2,2,0.0,0,Y,2019-02-02
2019,2,3,0.0,0,Y,2019-02-03
2019,2,4,7.0,1,Y,2019-02-04
2019,2,5,19.0,1,Y,2019-02-05
2019,2,6,5.0,1,Y,2019-02-06
2019,2,7,0.0,0,Y,2019-02-07
2019,2,8,0.0,0,Y,2019-02-08
2019,2,9,6.0,1,Y,2019-02-09
2019,2,10,0.0,0,Y,2019-02-10
2019,2,11,0.0,0,Y,2019-02-11
2019,2,12,0.0,0,Y,2019-02-12
2019,2,13,0.0,0,Y,2019-02-13
2019,2,14,0.0,0,Y,2019-02-14
2019,2,15,0.0,0,Y,2019-02-15
2019,2,16,0.0,0,Y,2019-02-16
2019,2,17,0.0,0,Y,2019-02-17
2019,2,18,0.0,0,Y,2019-02-18
2019,2,19,0.0,0,Y,2019-02-19
2019,2,20,0.0,0,Y,2019-02-20
2019,2,21,0.0,0,Y,2019-02-21
2019,2,22,0.0,0,Y,2019-02-22
2019,2,23,0.0,0,Y,2019-02-23
2019,2,24,0.0,0,Y,2019-02-24
2019,2,25,0.0,0,Y,2019-02-25
2019,2,26,0.0,0,Y,2019-02-26
2019,2,27,3.8,1,Y,2019-02-27
2019,2,28,0.0,0,Y,2019-02-28
2019,3,1,0.0,0,Y,2019-03-01
2019,3,2,0.0,0,Y,2019-03-02
2019,3,3,0.0,0,Y,2019-03-03
2019,3,4,0.0,0,Y,2019-03-04
2019,3,5,0.0,0,Y,2019-03-05
2019,3,6,0.0,0,Y,2019-03-06
2019,3,7,6.0,1,Y,2019-03-07
2019,3,8,0.0,0,Y,2019-03-08
2019,3,9,0.0,0,Y,2019-03-09
2019,3,10,0.0,0,Y,2019-03-10
2019,3,11,0.0,0,Y,2019-03-11
2019,3,12,0.0,0,Y,2019-03-12
2019,3,13,0.0,0,Y,2019-03-13
2019,3,14,0.0,0,Y,2019-03-14
2019,3,15,0.0,0,Y,2019-03-15
2019,3,16,0.0,0,Y,2019-03-16
2019,3,17,0.0,0,Y,2019-03-17
2019,3,18,17.0,1,Y,2019-03-18
2019,3,19,0.0,0,Y,2019-03-19
2019,3,20,0.0,0,Y,2019-03-20
2019,3,21,0.0,0,Y,2019-03-21
2019,3,22,0.0,0,Y,2019-03-22
2019,3,23,0.0,0,Y,2019-03-23
2019,3,24,0.0,0,Y,2019-03-24
2019,3,25,0.0,0,Y,2019-03-25
2019,3,26,0.0,0,Y,2019-03-26
2019,3,27,0.0,0,Y,2019-03-27
2019,3,28,0.6,1,Y,2019-03-28
2019,3,29,0.0,0,Y,2019-03-29
2019,3,30,39.0,1,Y,2019-03-30
2019,3,31,0.0,0,Y,2019-03-31
2019,4,1,0.0,0,Y,2019-04-01
2019,4,2,0.0,0,Y,2019-04-02
2019,4,3,0.0,0,Y,2019-04-03
2019,4,4,0.0,0,Y,2019-04-04
2019,4,5,0.4,1,Y,2019-04-05
2019,4,6,0.0,0,Y,2019-04-06
2019,4,7,0.0,0,Y,2019-04-07
2019,4,8,0.0,0,Y,2019-04-08
2019,4,9,0.0,0,Y,2019-04-09
2019,4,10,0.0,0,Y,2019-04-10
2019,4,11,0.0,0,Y,2019-04-11
2019,4,12,0.0,0,Y,2019-04-12
2019,4,13,0.0,0,Y,2019-04-13
2019,4,14,0.0,0,Y,2019-04-14
2019,4,15,0.0,0,Y,2019-04-15
2019,4,16,0.0,0,Y,2019-04-16
2019,4,17,0.0,0,Y,2019-04-17
2019,4,18,0.0,0,Y,2019-04-18
2019,4,19,0.0,0,Y,2019-04-19
2019,4,20,0.0,0,Y,2019-04-20
2019,4,21,0.0,0,Y,2019-04-21
2019,4,22,0.0,0,Y,2019-04-22
2019,4,23,14.0,1,Y,2019-04-23
2019,4,24,0.0,0,Y,2019-04-24
2019,4,25,0.0,0,Y,2019-04-25
2019,4,26,0.0,0,Y,2019-04-26
2019,4,27,0.0,0,Y,2019-04-27
2019,4,28,0.0,0,Y,2019-04-28
2019,4,29,0.0,0,Y,2019-04-29
2019,4,30,0.0,0,Y,2019-04-30
2019,5,1,0.0,0,N,2019-05-01
2019,5,2,0.0,0,N,2019-05-02
2019,5,3,12.6,1,N,2019-05-03
2019,5,4,9.2,1,N,2019-05-04
2019,5,5,0.0,0,N,2019-05-05
2019,5,6,0.0,0,N,2019-05-06
2019,5,7,0.0,0,N,2019-05-07
2019,5,8,2.4,1,N,2019-05-08
2019,5,9,0.0,0,N,2019-05-09
2019,5,10,0.0,0,N,2019-05-10
2019,5,11,13.2,1,N,2019-05-11
2019,5,12,0.0,0,N,2019-05-12
2019,5,13,0.0,0,N,2019-05-13
2019,5,14,0.0,0,N,2019-05-14
2019,5,15,0.0,0,N,2019-05-15
2019,5,16,0.0,0,N,2019-05-16
2019,5,17,0.0,0,N,2019-05-17
2019,5,18,0.0,0,N,2019-05-18
2019,5,19,0.0,0,N,2019-05-19
2019,5,20,0.0,0,N,2019-05-20
2019,5,21,0.0,0,N,2019-05-21
2019,5,22,0.0,0,N,2019-05-22
2019,5,23,0.0,0,N,2019-05-23
2019,5,24,0.0,0,N,2019-05-24
