date,transaction,debit,credit
11/1/18,2018 OPENING BALANCE,0,0
18/1/18,POS 15533600 18 JAN,0,188
19/1/18,POS 15533600 19 JAN,0,75
20/1/18,POS 15533600 20 JAN,0,359
21/1/18,POS 15533600 21 JAN,0,230
22/1/18,POS 15533600 22 JAN,0,60
23/1/18,POS 15533600 23 JAN,0,148
24/1/18,POS 15533600 24 JAN,0,257
25/1/18,POS 15533600 25 JAN,0,20
26/1/18,POS 15533600 26 JAN,0,44
27/1/18,POS 15533600 27 JAN,0,161
28/1/18,POS 15533600 28 JAN,0,18
29/1/18,POS 15533600 29 JAN,0,179
30/1/18,POS 15533600 30 JAN,0,42
31/1/18,POS 15533600 31 JAN,0,185
1/2/18,Wdl Branch Gungahlin,1900,0
1/2/18,POS 15533600 01 FEB,0,232
2/2/18,CBA MERCHANT FEE,60,0
2/2/18,POS 15533600 02 FEB,0,97
3/2/18,POS 15533600 03 FEB,0,283
4/2/18,POS 15533600 04 FEB,0,178
5/2/18,Direct Credit 403697 AMEX,0,30
5/2/18,POS 15533600 05 FEB,0,202
6/2/18,POS 15533600 06 FEB,0,79
7/2/18,POS 15533600 07 FEB,0,301.5
8/2/18,POS 15533600 08 FEB,0,152
9/2/18,POS 15533600 09 FEB,0,88
10/2/18,POS 15533600 10 FEB,0,41.5
11/2/18,POS 15533600 11 FEB,0,42
12/2/18,POS 15533600 12 FEB,0,61.5
13/2/18,Wdl ATM CBA ATM,200,0
13/2/18,POS 15533600 13 FEB,0,105
14/2/18,POS 15533600 14 FEB,0,32
15/2/18,POS 15533600 15 FEB,0,225
17/2/18,POS 15533600 17 FEB,0,112
18/2/18,POS 15533600 18 FEB,0,249.5
19/2/18,POS 15533600 19 FEB,0,85.5
20/2/18,POS 15533600 20 FEB,0,181
21/2/18,POS 15533600 21 FEB,0,168.5
22/2/18,POS 15533600 22 FEB,0,207
23/2/18,POS 15533600 23 FEB,0,95
24/2/18,POS 15533600 24 FEB,0,262.5
25/2/18,POS 15533600 25 FEB,0,271.5
26/2/18,POS 15533600 26 FEB,0,25
27/2/18,POS 15533600 27 FEB,0,399
28/2/18,POS 15533600 28 FEB,0,185.5
